train/value_loss,train/learning_rate,train/explained_variance,time/total_timesteps,train/policy_loss,time/iterations,time/time_elapsed,train/n_updates,time/fps,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
9.288214294911334e-12,0.0007,-0.7131085395812988,500,-4.568903477775166e-06,100,0,99,964,-1.589270830154419,,
2.4555158233852126e-05,0.0007,0.16256648302078247,1000,0.005507917143404484,200,1,199,964,-1.4227513074874878,,
5.8302980221469625e-09,0.0007,-1550.32763671875,1500,6.931198004167527e-05,300,1,299,957,-1.3960597515106201,,
7.493857765439316e-07,0.0007,-116.58463287353516,2000,0.0012996423756703734,400,2,399,972,-1.348611831665039,,
1.7804215985961491e-06,0.0007,0.00011920928955078125,2500,-0.0014309296384453773,500,2,499,983,-1.3669153451919556,,
2.738460014306554e-10,0.0007,1.1622905731201172e-05,3000,-1.78917107405141e-05,600,3,599,987,-1.2799057960510254,,
1.2426312423485797e-05,0.0007,-35.42118835449219,3500,0.0035522007383406162,700,3,699,992,-1.3465769290924072,,
2.7042668079957366e-05,0.0007,-0.00014126300811767578,4000,-0.009402044117450714,800,4,799,993,-1.190720796585083,,
9.859737915007827e-09,0.0007,-12.916559219360352,4500,5.001553654437885e-05,900,4,899,999,-1.1906179189682007,,
1.3649526387632394e-12,0.0007,0.02093029022216797,5000,-1.0131385579370544e-06,,,999,,-1.1141009330749512,300.0,-2.9999999329447746
,,,5000,,1000,5,,912,,,
0.00010111842129845172,0.0007,-5.596739292144775,5500,0.017486179247498512,1100,5,1099,921,-1.0337414741516113,,
5.613287680267427e-14,0.0007,0.3333333134651184,6000,-1.465318035798191e-07,1200,6,1199,927,-1.1730968952178955,,
1.1975802571839722e-08,0.0007,0.0,6500,0.00010554816253716126,1300,6,1299,931,-0.9185498356819153,,
1.1860312731926115e-08,0.0007,1.1324882507324219e-06,7000,-7.998655928531662e-05,1400,7,1399,939,-0.967880129814148,,
5.477218678606732e-11,0.0007,0.00013148784637451172,7500,-4.440216343937209e-06,1500,7,1499,946,-0.8910812139511108,,
1.3864421816833783e-05,0.0007,1.1920928955078125e-06,8000,0.004319409374147654,1600,8,1599,949,-0.7255944609642029,,
1.1053622984036338e-05,0.0007,0.0,8500,-0.0030679935589432716,1700,8,1699,954,-0.9993064999580383,,
1.0658141036401503e-14,0.0007,0.0,9000,-2.1755984391802485e-07,1800,9,1799,957,-1.034923791885376,,
1.338852917420752e-09,0.0007,2.3245811462402344e-06,9500,1.2790736036549788e-05,1900,9,1899,962,-0.8885620832443237,,
3.826260945061222e-05,0.0007,-1.1920928955078125e-07,10000,-0.006914760917425156,,,1999,,-0.9454101324081421,300.0,-2.9999999329447746
,,,10000,,2000,10,,923,,,
1.169875973872081e-09,0.0007,7.748603820800781e-07,10500,-2.6854011593968607e-05,100,0,2099,1067,-0.9470549821853638,,
3.517311142786639e-06,0.0007,0.0,11000,-0.0026992803905159235,200,0,2199,1050,-0.9267669916152954,,
4.250272578332215e-09,0.0007,1.1920928955078125e-07,11500,-1.775444070517551e-05,300,1,2299,1042,-0.7200793027877808,,
2.382520916666131e-11,0.0007,3.337860107421875e-05,12000,-4.219114089210052e-06,400,1,2399,1039,-0.7606136202812195,,
1.7111353827203857e-06,0.0007,0.0,12500,-0.000653816678095609,500,2,2499,1033,-0.683036744594574,,
1.8758327953016102e-13,0.0007,0.1111111044883728,13000,-2.952327236016572e-07,600,2,2599,1027,-0.7707230448722839,,
2.6265709052175623e-10,0.0007,2.6702880859375e-05,13500,-1.0489157830306794e-05,700,3,2699,1030,-0.8100786209106445,,
7.488231403840473e-06,0.0007,0.0,14000,-0.0016652203630656004,800,3,2799,1027,-0.7787752747535706,,
3.907985046680551e-14,0.0007,0.3333333134651184,14500,-1.3806591425691295e-07,900,4,2899,1029,-0.9032486081123352,,
1.162845791879974e-10,0.0007,0.00011056661605834961,15000,-7.057289622025564e-06,,,2999,,-0.8531801104545593,300.0,-2.9999999329447746
,,,15000,,1000,5,,947,,,
1.8341913801123155e-06,0.0007,0.0,15500,-0.0009028225904330611,1100,5,3099,940,-0.8278206586837769,,
1.9895196601282805e-13,0.0007,0.0,16000,-2.5886760113280616e-07,1200,6,3199,945,-0.8253024816513062,,
6.647340455856465e-10,0.0007,4.3511390686035156e-05,16500,-1.6847430742927827e-05,1300,6,3299,952,-0.7862615585327148,,
2.5270066998928087e-06,0.0007,0.0,17000,-0.0008075738442130387,1400,7,3399,959,-0.7404220700263977,,
6.1817216655876e-14,0.0007,0.0,17500,-1.1512661046708672e-07,1500,7,3499,961,-0.7127127051353455,,
4.008278153833089e-10,0.0007,4.947185516357422e-05,18000,-1.1826586160168517e-05,1600,8,3599,965,-0.6783677339553833,,
5.450246590044117e-06,0.0007,-1.1920928955078125e-07,18500,-0.0007320677977986634,1700,8,3699,970,-0.6501718163490295,,
6.55333556517923e-12,0.0007,0.0004956722259521484,19000,-1.6114260006361292e-06,1800,9,3799,974,-0.6791258454322815,,
2.2665066268245937e-08,0.0007,0.0,19500,-0.0001037693364196457,1900,9,3899,975,-0.6468205451965332,,
2.5531338110340585e-07,0.0007,-1.1920928955078125e-07,20000,-6.449586362577975e-05,,,3999,,-0.41492968797683716,300.0,-2.9999999329447746
,,,20000,,2000,10,,937,,,
1.0033609498805163e-07,0.0007,1.7881393432617188e-07,20500,-0.00018292390450369567,100,0,4099,1042,-0.7271776795387268,,
1.881704747574986e-06,0.0007,5.960464477539063e-08,21000,-0.0008506020531058311,200,0,4199,1034,-0.711937427520752,,
0.0,0.0007,1.0,21500,-0.0,300,1,4299,1034,-0.7345498204231262,,
8.588131317210923e-10,0.0007,0.0,22000,-2.0425930415512994e-05,400,1,4399,1038,-0.7138131260871887,,
4.8324545787181705e-05,0.0007,-1.1920928955078125e-07,22500,-0.0031973361037671566,500,2,4499,1042,-0.6779060363769531,,
1.5153035076709287e-11,0.0007,5.245208740234375e-05,23000,-2.479190470694448e-06,600,2,4599,1047,-0.7291211485862732,,
1.1257523802044034e-08,0.0007,7.748603820800781e-07,23500,-8.476030052406713e-05,700,3,4699,1046,-0.6402437090873718,,
1.4746334272786044e-05,0.0007,5.960464477539063e-08,24000,-0.002783361356705427,800,3,4799,1040,-0.698584794998169,,
0.0,0.0007,1.0,24500,-0.0,900,4,4899,1040,-0.7280535697937012,,
1.0502570368942088e-08,0.0007,1.0728836059570312e-06,25000,-4.649194306693971e-05,,,4999,,-0.6654559373855591,300.0,-2.9999999329447746
,,,25000,,1000,5,,959,,,
1.033699959407386e-06,0.0007,0.0,25500,-0.0006964414496906102,1100,5,5099,962,-0.7102336883544922,,
1.6122214240715804e-12,0.0007,0.0005934834480285645,26000,-5.572131840381189e-07,1200,6,5199,970,-0.6949540376663208,,
9.766663922050611e-09,0.0007,0.0,26500,-6.002072404953651e-05,1300,6,5299,975,-0.7127084732055664,,
3.4549641441117274e-06,0.0007,1.1920928955078125e-07,27000,-0.001222668681293726,1400,7,5399,979,-0.6665578484535217,,
3.517186542012496e-13,0.0007,0.0,27500,-3.727490707206016e-07,1500,7,5499,982,-0.7203302979469299,,
1.0665474059479152e-09,0.0007,1.1920928955078125e-05,28000,-1.2281552699278109e-05,1600,8,5599,981,-0.5264708995819092,,
1.94100584849366e-06,0.0007,0.0,28500,-0.0008378274505957961,1700,8,5699,985,-0.7131494283676147,,
0.0,0.0007,nan,29000,-0.0,1800,9,5799,988,-0.7284676432609558,,
1.277006611566378e-09,0.0007,5.960464477539062e-07,29500,-2.368586865486577e-05,1900,9,5899,989,-0.7304716110229492,,
1.974934548343299e-06,0.0007,0.0,30000,-0.0008887170115485787,,,5999,,-0.7258808612823486,300.0,-2.9999999329447746
,,,30000,,2000,10,,948,,,
1.2295586770960654e-10,0.0007,5.817413330078125e-05,30500,-6.672464223811403e-06,100,0,6099,1059,-0.7189518809318542,,
3.637709653503407e-07,0.0007,-0.00046193599700927734,31000,-0.0005777006736025214,200,0,6199,1042,-0.5628675222396851,,
7.503331181206441e-13,0.0007,0.0,31500,-2.942745709333394e-07,300,1,6299,1029,-0.6723441481590271,,
8.14065981291634e-10,0.0007,9.5367431640625e-07,32000,-1.7813632439356297e-05,400,1,6399,1031,-0.7413251399993896,,
1.2746029369736789e-06,0.0007,0.0,32500,-0.0005278225289657712,500,2,6499,1041,-0.6880269646644592,,
1.874624934450342e-11,0.0007,3.9517879486083984e-05,33000,-8.852022688188299e-07,600,2,6599,1039,-0.5229424834251404,,
2.0087388747924706e-06,0.0007,0.0,33500,-0.0002619069127831608,700,3,6699,1040,-0.49829569458961487,,
1.040382994688116e-05,0.0007,-51.87339782714844,34000,0.0027294668834656477,800,3,6799,1038,-0.595382571220398,,
1.1084466948908106e-13,0.0007,0.0,34500,-2.8013789687975077e-07,900,4,6899,1038,-0.5983172655105591,,
1.3642263985147451e-09,0.0007,3.731250762939453e-05,35000,-2.019081512116827e-05,,,6999,,-0.706754207611084,300.0,-2.9999999329447746
,,,35000,,1000,5,,954,,,
1.8815762814483605e-06,0.0007,0.0,35500,-0.0007398899761028588,1100,5,7099,953,-0.6647697687149048,,
7.949765151726851e-11,0.0007,4.1484832763671875e-05,36000,-6.2998269640957005e-06,1200,6,7199,961,-0.5981155633926392,,
1.4753420707336318e-08,0.0007,1.0132789611816406e-06,36500,-5.5821543355705217e-05,1300,6,7299,966,-0.5463253855705261,,
3.1547274375043344e-06,0.0007,-1.1920928955078125e-07,37000,-0.0011228943476453424,1400,7,7399,970,-0.7187857031822205,,
3.483080577432185e-12,0.0007,0.0019088983535766602,37500,-1.2201805930089904e-06,1500,7,7499,974,-0.6442388296127319,,
7.153506231816209e-09,0.0007,5.960464477539063e-08,38000,-4.984912811778486e-05,1600,8,7599,978,-0.7013399600982666,,
2.043231461357209e-06,0.0007,0.0,38500,-0.0009547710651531816,1700,8,7699,983,-0.66746985912323,,
1.294750938407585e-11,0.0007,6.526708602905273e-05,39000,-3.0095391139184358e-06,1800,9,7799,985,-0.6338530778884888,,
3.344365495649981e-08,0.0007,0.0,39500,-0.00010153211042052135,1900,9,7899,988,-0.7333482503890991,,
3.38029212798574e-06,0.0007,0.0,40000,-0.0009518043952994049,,,7999,,-0.7126142382621765,300.0,-2.9999999329447746
,,,40000,,2000,10,,948,,,
8.820834063172356e-10,0.0007,1.436471939086914e-05,40500,-1.8038956113741733e-05,100,0,8099,1040,-0.5567482113838196,,
1.846596205723472e-06,0.0007,0.0,41000,-0.0003126750816591084,200,0,8199,1008,-0.5504139065742493,,
1.2950210348527946e-10,0.0007,0.0003057718276977539,41500,-8.00913585408125e-06,300,1,8299,1013,-0.6000683307647705,,
3.484650079599305e-08,0.0007,4.76837158203125e-07,42000,-0.0002717306779231876,400,1,8399,1020,-0.4440799653530121,,
5.020781372877536e-06,0.0007,0.0,42500,-0.002247605239972472,500,2,8499,1024,-0.674370527267456,,
6.202711122504923e-10,0.0007,1.3113021850585938e-06,43000,-1.8279411960975267e-05,600,2,8599,1020,-0.7478762269020081,,
2.8550956043815745e-10,0.0007,2.4974346160888672e-05,43500,-1.0384968845755793e-05,700,3,8699,1020,-0.7367254495620728,,
1.4909422816344886e-06,0.0007,1.1920928955078125e-07,44000,-0.0010271494975313544,800,3,8799,1002,-0.5585943460464478,,
3.597193723448022e-11,0.0007,2.3484230041503906e-05,44500,-2.692908310564235e-06,900,4,8899,990,-0.4763157367706299,,
1.4999408382010415e-09,0.0007,1.329183578491211e-05,45000,-9.54881397774443e-06,,,8999,,-0.5912483930587769,300.0,-2.9999999329447746
,,,45000,,1000,5,,899,,,
